Wavelength,Clear,Red,Blue,Green
970.907,0.053264,0.052842,0.053695,0.058806
975.039,0.052484,0.050341,0.049784,0.05537
975.417,0.052437,0.050076,0.049628,0.054983
979.3,0.052256,0.047497,0.050045,0.050556
980.177,0.052286,0.047183,0.050866,0.049488
981.427,0.052365,0.047117,0.052787,0.048155
984.06,0.052633,0.048336,0.056714,0.049141
984.19,0.052649,0.048429,0.056791,0.049344
990.201,0.053345,0.053779,0.057211,0.058455
990.956,0.053405,0.054387,0.057558,0.059009
991.458,0.053441,0.054752,0.057839,0.059275
992.207,0.053491,0.055214,0.058317,0.059517
1000.477,0.054259,0.056447,0.064688,0.058225
1000.729,0.054305,0.056626,0.064858,0.05832
1003.866,0.055174,0.059954,0.066588,0.062228
1005.739,0.056124,0.062285,0.067199,0.064943
1006.872,0.057004,0.063596,0.06742,0.065645
1009.253,0.059925,0.065484,0.067572,0.065287
1013.011,0.065165,0.064183,0.067112,0.064266
1014.766,0.065667,0.063148,0.066722,0.064346
1016.769,0.065605,0.062972,0.0694,0.065014
1017.275,0.065575,0.063126,0.07062,0.065284
1018.274,0.06555,0.063616,0.072587,0.065935
1022.284,0.066708,0.067014,0.078772,0.069815
1026.052,0.070503,0.071086,0.082936,0.074486
1028.051,0.073152,0.073253,0.084163,0.077131
1033.066,0.079488,0.078051,0.083392,0.083641
1033.069,0.07949,0.078053,0.083391,0.083644
1035.702,0.081429,0.080451,0.081888,0.086508
1036.576,0.081773,0.081354,0.081275,0.087253
1038.329,0.082,0.082823,0.07979,0.088294
1042.338,0.080094,0.080532,0.075558,0.08713
1044.22,0.078026,0.078609,0.073522,0.083837
1044.965,0.077048,0.077794,0.072751,0.082048
1047.847,0.072914,0.074463,0.069992,0.074985
1048.599,0.07184,0.073563,0.069258,0.073681
1050.474,0.069306,0.071277,0.06712,0.07131
1051.351,0.068212,0.070194,0.06587,0.070398
1054.854,0.064328,0.065811,0.060087,0.066649
1054.858,0.064324,0.065806,0.06008,0.066643
1058.485,0.06063,0.06121,0.05602,0.060531
1059.239,0.059865,0.060251,0.055256,0.059453
1064.244,0.054527,0.053863,0.049764,0.056127
1064.374,0.05438,0.053698,0.049618,0.056009
1065.124,0.053509,0.052741,0.048768,0.055283
1072.132,0.044432,0.043834,0.040382,0.046959
1074.514,0.041158,0.040838,0.036997,0.043656
1076.012,0.03912,0.038969,0.035222,0.041341
1078.644,0.035685,0.03572,0.034035,0.037187
